Method,Simulation,Epoch,Actions,Noise,obsBest,trueBest
Separate,1,0,2,0.009999999776482582,1.794600486755371,1.8395237922668457
Separate,1,1,2,0.009999999776482582,1.794600486755371,1.8395237922668457
Separate,1,2,2,0.009999999776482582,1.794600486755371,1.8395237922668457
Separate,1,3,2,0.009999999776482582,1.794600486755371,1.8395237922668457
Separate,1,4,2,0.009999999776482582,1.794600486755371,1.8395237922668457
Separate,1,5,2,0.009999999776482582,1.794600486755371,1.8395237922668457
Separate,1,6,2,0.009999999776482582,1.794600486755371,1.8395237922668457
Separate,1,7,2,0.009999999776482582,1.794600486755371,1.8395237922668457
Separate,1,8,2,0.009999999776482582,1.794600486755371,1.8395237922668457
Separate,1,9,2,0.009999999776482582,1.794600486755371,1.8395237922668457
Separate,1,10,2,0.009999999776482582,1.794600486755371,1.8395237922668457
Separate,1,11,2,0.009999999776482582,1.794600486755371,1.8395237922668457
Separate,1,12,2,0.009999999776482582,1.794600486755371,1.8395237922668457
Separate,1,13,2,0.009999999776482582,1.794600486755371,1.8395237922668457
Separate,1,14,2,0.009999999776482582,1.794600486755371,1.8395237922668457
Separate,1,15,2,0.009999999776482582,1.794600486755371,1.8395237922668457
Separate,1,16,2,0.009999999776482582,1.794600486755371,1.8395237922668457
Separate,1,17,2,0.009999999776482582,1.794600486755371,1.8395237922668457
Separate,1,18,2,0.009999999776482582,1.794600486755371,1.8395237922668457
Separate,1,19,2,0.009999999776482582,1.794600486755371,1.8395237922668457
Separate,1,20,2,0.009999999776482582,1.794600486755371,1.8395237922668457
Separate,2,0,2,0.009999999776482582,2.2184689044952393,2.2157764434814453
Separate,2,1,2,0.009999999776482582,2.2184689044952393,2.2157764434814453
Separate,2,2,2,0.009999999776482582,2.2184689044952393,2.2157764434814453
Separate,2,3,2,0.009999999776482582,2.2184689044952393,2.2157764434814453
Separate,2,4,2,0.009999999776482582,2.2184689044952393,2.2157764434814453
Separate,2,5,2,0.009999999776482582,2.2184689044952393,2.2157764434814453
Separate,2,6,2,0.009999999776482582,2.2184689044952393,2.2157764434814453
Separate,2,7,2,0.009999999776482582,2.2184689044952393,2.2157764434814453
Separate,2,8,2,0.009999999776482582,2.2184689044952393,2.2157764434814453
Separate,2,9,2,0.009999999776482582,2.2184689044952393,2.2157764434814453
Separate,2,10,2,0.009999999776482582,2.2184689044952393,2.2157764434814453
Separate,2,11,2,0.009999999776482582,2.259737253189087,2.2157764434814453
Separate,2,12,2,0.009999999776482582,2.259737253189087,2.2157764434814453
Separate,2,13,2,0.009999999776482582,2.259737253189087,2.2157764434814453
Separate,2,14,2,0.009999999776482582,2.259737253189087,2.2157764434814453
Separate,2,15,2,0.009999999776482582,2.259737253189087,2.2157764434814453
Separate,2,16,2,0.009999999776482582,2.259737253189087,2.2157764434814453
Separate,2,17,2,0.009999999776482582,2.259737253189087,2.2157764434814453
Separate,2,18,2,0.009999999776482582,2.259737253189087,2.2157764434814453
Separate,2,19,2,0.009999999776482582,2.259737253189087,2.2157764434814453
Separate,2,20,2,0.009999999776482582,2.259737253189087,2.2157764434814453
Separate,3,0,2,0.009999999776482582,2.1355247497558594,2.1206908226013184
Separate,3,1,2,0.009999999776482582,2.1355247497558594,2.1206908226013184
Separate,3,2,2,0.009999999776482582,2.1355247497558594,2.1206908226013184
Separate,3,3,2,0.009999999776482582,2.1355247497558594,2.1206908226013184
Separate,3,4,2,0.009999999776482582,2.1355247497558594,2.1206908226013184
Separate,3,5,2,0.009999999776482582,2.1355247497558594,2.1206908226013184
Separate,3,6,2,0.009999999776482582,2.1355247497558594,2.1206908226013184
Separate,3,7,2,0.009999999776482582,2.1355247497558594,2.1206908226013184
Separate,3,8,2,0.009999999776482582,2.1355247497558594,2.1206908226013184
Separate,3,9,2,0.009999999776482582,2.1355247497558594,2.1206908226013184
Separate,3,10,2,0.009999999776482582,2.1355247497558594,2.1206908226013184
Separate,3,11,2,0.009999999776482582,2.1355247497558594,2.1206908226013184
Separate,3,12,2,0.009999999776482582,2.1355247497558594,2.1206908226013184
Separate,3,13,2,0.009999999776482582,2.1355247497558594,2.1206908226013184
Separate,3,14,2,0.009999999776482582,2.1355247497558594,2.1206908226013184
Separate,3,15,2,0.009999999776482582,2.1355247497558594,2.1206908226013184
Separate,3,16,2,0.009999999776482582,2.1355247497558594,2.1206908226013184
Separate,3,17,2,0.009999999776482582,2.1355247497558594,2.1206908226013184
Separate,3,18,2,0.009999999776482582,2.1355247497558594,2.1206908226013184
Separate,3,19,2,0.009999999776482582,2.1355247497558594,2.1206908226013184
Separate,3,20,2,0.009999999776482582,2.1355247497558594,2.1206908226013184
Separate,4,0,2,0.009999999776482582,1.7817343473434448,1.9575884342193604
Separate,4,1,2,0.009999999776482582,1.7817343473434448,1.9575884342193604
Separate,4,2,2,0.009999999776482582,1.7817343473434448,1.9575884342193604
Separate,4,3,2,0.009999999776482582,1.7817343473434448,1.9575884342193604
Separate,4,4,2,0.009999999776482582,1.7817343473434448,1.9575884342193604
Separate,4,5,2,0.009999999776482582,1.7817343473434448,1.9575884342193604
Separate,4,6,2,0.009999999776482582,1.7817343473434448,1.9575884342193604
Separate,4,7,2,0.009999999776482582,1.7817343473434448,1.9575884342193604
Separate,4,8,2,0.009999999776482582,1.7817343473434448,1.9575884342193604
Separate,4,9,2,0.009999999776482582,1.7817343473434448,1.9575884342193604
Separate,4,10,2,0.009999999776482582,1.7817343473434448,1.9575884342193604
Separate,4,11,2,0.009999999776482582,1.7817343473434448,1.9575884342193604
